year,age_group,brate
1980,15 to 19,53
1980,20 to 24,115.1
1980,25 to 29,112.9
1980,30 to 34,61.9
1980,35 to 39,19.8
1980,40 to 44,3.9
1981,15 to 19,52.2
1981,20 to 24,112.2
1981,25 to 29,111.5
1981,30 to 34,61.4
1981,35 to 39,20
1981,40 to 44,3.8
1982,15 to 19,52.4
1982,20 to 24,111.6
1982,25 to 29,111
1982,30 to 34,64.1
1982,35 to 39,21.2
1982,40 to 44,3.9
1983,15 to 19,51.4
1983,20 to 24,107.8
1983,25 to 29,108.5
1983,30 to 34,64.9
1983,35 to 39,22
1983,40 to 44,3.9
1984,15 to 19,50.6
1984,20 to 24,106.8
1984,25 to 29,108.7
1984,30 to 34,67
1984,35 to 39,22.9
1984,40 to 44,3.9
1985,15 to 19,51
1985,20 to 24,108.3
1985,25 to 29,111
1985,30 to 34,69.1
1985,35 to 39,24
1985,40 to 44,4
1986,15 to 19,50.2
1986,20 to 24,107.4
1986,25 to 29,109.8
1986,30 to 34,70.1
1986,35 to 39,24.4
1986,40 to 44,4.1
1987,15 to 19,50.6
1987,20 to 24,107.9
1987,25 to 29,111.6
1987,30 to 34,72.1
1987,35 to 39,26.3
1987,40 to 44,4.4
1988,15 to 19,53
1988,20 to 24,110.2
1988,25 to 29,114.4
1988,30 to 34,74.8
1988,35 to 39,28.1
1988,40 to 44,4.8
1989,15 to 19,57.3
1989,20 to 24,113.8
1989,25 to 29,117.6
1989,30 to 34,77.4
1989,35 to 39,29.9
1989,40 to 44,5.2
1990,15 to 19,59.9
1990,20 to 24,116.5
1990,25 to 29,120.2
1990,30 to 34,80.8
1990,35 to 39,31.7
1990,40 to 44,5.5
1991,15 to 19,61.8
1991,20 to 24,115.3
1991,25 to 29,117.2
1991,30 to 34,79.2
1991,35 to 39,31.9
1991,40 to 44,5.5
1992,15 to 19,60.3
1992,20 to 24,113.7
1992,25 to 29,115.7
1992,30 to 34,79.6
1992,35 to 39,32.3
1992,40 to 44,5.9
1993,15 to 19,59
1993,20 to 24,111.3
1993,25 to 29,113.2
1993,30 to 34,79.9
1993,35 to 39,32.7
1993,40 to 44,6.1
1994,15 to 19,58.2
1994,20 to 24,109.2
1994,25 to 29,111
1994,30 to 34,80.4
1994,35 to 39,33.4
1994,40 to 44,6.4
1995,15 to 19,56
1995,20 to 24,107.5
1995,25 to 29,108.8
1995,30 to 34,81.1
1995,35 to 39,34
