year,brate_1519,brate_2024,brate_2529,brate_3034,brate_3539,brate_4044,young,old
1980,53,115.1,112.9,61.9,19.8,3.9,93.66666666666667,28.53333333333333
1981,52.2,112.2,111.5,61.4,20,3.8,91.96666666666667,28.4
1982,52.4,111.6,111,64.1,21.2,3.9,91.66666666666666,29.73333333333333
1983,51.4,107.8,108.5,64.9,22,3.9,89.23333333333333,30.26666666666667
1984,50.6,106.8,108.7,67,22.9,3.9,88.7,31.266666666666666
1985,51,108.3,111,69.1,24,4,90.1,32.36666666666667
1986,50.2,107.4,109.8,70.1,24.4,4.1,89.13333333333334,32.86666666666667
1987,50.6,107.9,111.6,72.1,26.3,4.4,90.03333333333333,34.266666666666666
1988,53,110.2,114.4,74.8,28.1,4.8,92.53333333333333,35.9
1989,57.3,113.8,117.6,77.4,29.9,5.2,96.23333333333333,37.5
1990,59.9,116.5,120.2,80.8,31.7,5.5,98.86666666666667,39.33333333333333
1991,61.8,115.3,117.2,79.2,31.9,5.5,98.1,38.86666666666667
1992,60.3,113.7,115.7,79.6,32.3,5.9,96.56666666666666,39.266666666666666
1993,59,111.3,113.2,79.9,32.7,6.1,94.5,39.56666666666667
1994,58.2,109.2,111,80.4,33.4,6.4,92.8,40.06666666666667
1995,56,107.5,108.8,81.1,34,6.6,90.76666666666667,40.56666666666666
1996,53.5,107.8,108.6,82.1,34.9,6.8,89.96666666666667,41.266666666666666
1997,51.3,107.3,108.3,83,35.7,7.1,88.96666666666667,41.93333333333334
1998,50.3,108.4,110.2,85.2,36.9,7.4,89.63333333333334,43.166666666666664
1999,48.8,107.9,111.2,87.1,37.8,7.4,89.3,44.099999999999994
2000,47.7,109.7,113.5,91.2,39.7,8,90.3,46.300000000000004
2001,45,105.6,113.8,91.8,40.5,8.1,88.13333333333333,46.8
2002,42.6,103.1,114.7,92.6,41.6,8.3,86.8,47.5
2003,41.1,102.3,116.7,95.7,43.9,8.7,86.7,49.43333333333334
2004,40.5,101.5,116.5,96.2,45.5,9,86.16666666666667,50.233333333333334
2005,39.7,101.8,116.5,96.7,46.4,9.1,86,50.733333333333334
2006,41.1,105.5,118,98.9,47.5,9.4,88.2,51.93333333333334
2007,41.5,105.4,118.1,100.6,47.6,9.6,88.33333333333333,52.6
2008,40.2,101.8,115,99.4,46.8,9.9,85.66666666666667,52.03333333333333
2009,37.9,96.2,111.5,97.5,46.1,10,81.86666666666667,51.2
2010,34.2,90,108.3,96.5,45.9,10.2,77.5,50.86666666666667
2011,31.3,85.3,107.2,96.5,47.2,10.3,74.6,51.333333333333336
2012,29.4,83.1,106.5,97.3,48.3,10.4,73,52
2013,26.5,80.7,105.5,98,49.3,10.4,70.9,52.56666666666666
2014,24.2,79,105.8,100.8,51,10.6,69.66666666666667,54.13333333333333
2015,22.3,76.8,104.3,101.5,51.8,11,67.8,54.766666666666666
2016,20.3,73.8,102.1,102.7,52.7,11.4,65.39999999999999,55.6
2017,18.8,71,98,100.3,52.3,11.6,62.6,54.733333333333334
2018,17.4,68,95.3,99.7,52.6,11.8,60.233333333333334,54.7
2019,16.7,66.6,93.7,98.3,52.8,12,59,54.36666666666667
2020,15.3,62.8,90,94.8,51.7,11.8,56.03333333333333,52.766666666666666
